obs,treat,rat,age,response
77,hig,7,80,81.0247
78,hig,7,90,80.604
79,hig,7,100,82.801
80,hig,7,110,83.8153
81,hig,12,50,74.2765
82,hig,12,60,77.7817
83,hig,12,70,79.9062
84,hig,12,80,84.6463
85,hig,14,50,71.1196
86,hig,14,60,74.4043
87,hig,14,70,75.452
88,hig,49,50,69.4622
89,hig,49,60,74.686
90,hig,49,70,75.743
91,hig,49,80,78.2432
92,hig,49,90,77.1557
93,hig,49,100,77.4661
94,hig,49,110,80.2808
95,hig,50,50,73.2462
96,hig,50,60,74.6525
97,hig,50,70,76.844
98,hig,50,80,80.2808
99,hig,50,90,80.604
100,hig,50,100,82.3772
101,hig,50,110,83.4086
102,hig,51,50,68.884
103,hig,51,60,72.9178
104,hig,51,70,76.0592
105,hig,51,80,79.2023
106,hig,52,50,71.4213
107,hig,52,60,76.844
108,hig,52,70,77.666
109,hig,52,80,81.8352
110,hig,52,90,81.4002
111,hig,52,100,83.4086
112,hig,52,110,84.7231
113,hig,53,50,70.4557
114,hig,53,60,72.1249
115,hig,53,70,75.452
116,hig,53,80,78.6003
117,hig,53,90,77.3369
118,hig,53,100,79.8812
119,hig,53,110,80.8022
120,hig,54,50,67.6018
121,hig,54,60,70.6612
122,hig,54,70,74.2024
123,hig,56,50,69.3109
124,hig,56,60,73.9256
125,hig,56,70,75.4718
126,hig,56,80,77.7817
127,hig,57,50,72.2011
128,hig,57,60,76.0066
129,hig,57,70,77.0779
130,hig,57,80,80.1561
131,hig,57,90,81.3941
132,hig,57,100,83.4865
133,hig,57,110,82.662
134,hig,59,50,70.8378
135,hig,60,50,70.214
136,hig,60,60,75.4321
137,hig,60,70,77.4209
138,hig,60,80,79.0569
139,hig,60,90,77.2334
140,hig,60,100,81.0247
141,hig,60,110,83.5284
142,hig,62,50,71.7008
143,hig,62,60,74.8131
144,hig,63,50,68.4763
145,hig,63,60,75.4718
146,hig,63,70,76.4003
147,hig,63,80,78.2304
148,hig,63,90,78.5493
149,hig,63,100,80.2808
150,hig,63,110,81.3941
151,hig,64,50,70.8025
152,hig,64,60,73.4098
153,hig,64,70,75.6042
154,hig,64,80,78.6448
155,hig,64,90,79.0253
156,hig,64,100,80.604
157,hig,64,110,81.8841
158,low,8,50,71.7008
159,low,8,60,78.8162
160,low,10,50,71.2811
161,low,10,60,78.492
162,low,10,70,82.4924
163,low,10,80,82.3772
164,low,10,90,84.8116
165,low,10,100,84.2912
166,low,10,110,83.863
167,low,13,50,66.6033
168,low,13,60,70.6045
169,low,13,70,72.0694
170,low,13,80,73.8783
171,low,13,90,75.8222
172,low,13,100,78.2432
173,low,13,110,79.6492
174,low,16,50,72.7186
175,low,16,60,81.5659
176,low,16,70,82.134
177,low,16,80,83.006
178,low,16,90,83.7377
179,low,16,100,84.8999
180,low,16,110,86.8332
181,low,17,50,73.2462
182,low,17,60,80.9568
183,low,17,70,78.4092
184,low,17,80,81.2712
185,low,17,90,83.4086
186,low,27,50,70.4557
187,low,27,60,78.4092
188,low,27,70,79.404
189,low,27,80,80.8022
190,low,27,90,82.662
191,low,27,100,82.8794
192,low,27,110,85.703
193,low,28,50,70.1783
194,low,30,50,72.2496
195,low,30,60,75.4321
196,low,31,50,70.8308
197,low,31,60,75.8024
198,low,31,70,80
199,low,31,80,81.6333
200,low,31,90,82.0061
201,low,31,100,80.8084
202,low,31,110,82.6801
203,low,32,50,70.1783
204,low,32,60,72.4707
205,low,32,70,75.8222
206,low,32,80,76.6094
207,low,33,50,69.1158
208,low,33,60,74.3303
209,low,33,70,76.8505
210,low,33,80,77.0065
211,low,33,90,78.5175
212,low,33,100,81.6884
213,low,34,50,73.0068
214,low,34,60,77.5242
215,low,34,70,77.201
216,low,34,80,82.801
217,low,34,90,81.3204
218,low,34,100,83.4086
219,low,35,50,75.0733
220,low,35,60,78.032
221,low,35,70,80.1561
222,low,35,80,83.006
223,low,35,90,82.2192
224,low,35,100,84.0536
225,low,35,110,84.8764
226,low,37,50,69.7711
227,low,37,60,74.4043
228,low,37,70,76.6094
229,low,37,80,77.3886
230,low,37,90,82.4197
231,low,37,100,80.2808
232,low,37,110,82.662
233,low,38,50,71.5612
234,low,38,60,78.0064
235,low,38,70,81.6884
236,low,38,80,79.3221
237,low,39,50,74.027
238,low,39,60,75.4718
239,low,39,70,79.511
240,low,39,80,80.4487
241,low,40,50,70.3449
242,low,40,60,76.844
243,low,40,70,76.6942
244,low,40,80,81.0247
245,low,40,90,81.3449
246,low,41,50,73.2462
247,low,41,60,78.2368
248,low,41,70,79.6492
249,low,41,80,80.2122
250,low,41,90,84.8116
251,low,41,100,82.3286
252,low,41,110,85.2115
